epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1624.18,0.64003,0.45087,0.98397,0.96856,0.97828,0.987,0.89034,0.5415,0.2699,0.92671,0.00979705,0.00979705,0.00979705
43,1661.79,0.63752,0.44422,0.97807,0.9734,0.97569,0.98801,0.88127,0.57445,0.27766,0.96169,0.0097921,0.0097921,0.0097921
44,1700.55,0.63509,0.44677,0.98048,0.97479,0.97782,0.98818,0.8898,0.54482,0.26813,0.92944,0.00978715,0.00978715,0.00978715
45,1739.89,0.63068,0.45195,0.98143,0.97624,0.973,0.98864,0.88181,0.55639,0.26887,0.93943,0.0097822,0.0097822,0.0097822
46,1778.61,0.63625,0.44368,0.98014,0.97357,0.97459,0.98947,0.89482,0.53019,0.26342,0.92166,0.00977725,0.00977725,0.00977725
47,1817.17,0.62646,0.44029,0.97438,0.97619,0.97937,0.98918,0.89674,0.5285,0.25592,0.91634,0.0097723,0.0097723,0.0097723
48,1855,0.62232,0.43641,0.9718,0.97184,0.97839,0.98926,0.89767,0.52554,0.25785,0.91873,0.00976735,0.00976735,0.00976735
49,1893.72,0.6314,0.44018,0.97403,0.97452,0.97704,0.98914,0.89682,0.52609,0.25497,0.91924,0.0097624,0.0097624,0.0097624
50,1932.01,0.62563,0.43539,0.97192,0.97835,0.97538,0.98868,0.89728,0.52868,0.25591,0.92315,0.00975745,0.00975745,0.00975745
51,1970.31,0.62405,0.43534,0.97357,0.98059,0.97923,0.99071,0.90259,0.51896,0.24365,0.9172,0.0097525,0.0097525,0.0097525
52,2008.75,0.61707,0.44058,0.97533,0.97751,0.97953,0.98951,0.90113,0.52176,0.25374,0.91575,0.00974755,0.00974755,0.00974755
53,2046.82,0.62189,0.431,0.97577,0.97254,0.98183,0.98888,0.89653,0.53189,0.25797,0.92362,0.0097426,0.0097426,0.0097426
54,2086.19,0.61843,0.43304,0.96924,0.97264,0.9799,0.9892,0.89942,0.52902,0.26037,0.92246,0.00973765,0.00973765,0.00973765
55,2124.63,0.61937,0.43297,0.97259,0.97025,0.98194,0.98927,0.90178,0.52307,0.2579,0.91633,0.0097327,0.0097327,0.0097327
56,2163.1,0.61424,0.4298,0.9667,0.97677,0.98055,0.98986,0.89878,0.52231,0.24821,0.91715,0.00972775,0.00972775,0.00972775
57,2201.84,0.61877,0.4276,0.97483,0.9788,0.97972,0.98911,0.9045,0.52277,0.25135,0.9169,0.0097228,0.0097228,0.0097228
58,2240.26,0.61604,0.42273,0.9727,0.97705,0.98467,0.98977,0.90399,0.51531,0.24654,0.91131,0.00971785,0.00971785,0.00971785
59,2278.58,0.61527,0.42227,0.97063,0.97334,0.98439,0.98904,0.90294,0.5127,0.24645,0.91265,0.0097129,0.0097129,0.0097129
60,2317.23,0.61565,0.42492,0.96949,0.97974,0.98013,0.98895,0.90251,0.51216,0.2463,0.91157,0.00970795,0.00970795,0.00970795
61,2355.31,0.61088,0.42702,0.97345,0.97714,0.98506,0.99114,0.90394,0.51558,0.23836,0.91371,0.009703,0.009703,0.009703
62,2392.94,0.60859,0.41726,0.96722,0.97965,0.98392,0.99059,0.90537,0.51477,0.23873,0.91357,0.00969805,0.00969805,0.00969805
63,2431.84,0.61279,0.42164,0.96989,0.97254,0.98274,0.99,0.90405,0.51333,0.24307,0.91218,0.0096931,0.0096931,0.0096931
64,2470.33,0.61235,0.42692,0.97007,0.97491,0.9817,0.98933,0.90358,0.51583,0.24225,0.91346,0.00968815,0.00968815,0.00968815
65,2508.95,0.60488,0.41758,0.96583,0.97623,0.98076,0.98995,0.90457,0.5163,0.2439,0.91206,0.0096832,0.0096832,0.0096832
66,2547.36,0.60719,0.41769,0.96679,0.97619,0.98311,0.99036,0.905,0.51201,0.23875,0.90914,0.00967825,0.00967825,0.00967825
67,2585.15,0.60729,0.41763,0.96576,0.97473,0.98459,0.99028,0.90743,0.50981,0.23672,0.90809,0.0096733,0.0096733,0.0096733
68,2623.58,0.60556,0.42199,0.96364,0.97195,0.98671,0.99081,0.90524,0.5109,0.23263,0.90831,0.00966835,0.00966835,0.00966835
69,2662.23,0.60653,0.40974,0.96219,0.98055,0.98081,0.99055,0.90662,0.51177,0.23318,0.90876,0.0096634,0.0096634,0.0096634
70,2700.56,0.6111,0.42027,0.96519,0.97961,0.97957,0.99082,0.90679,0.50928,0.23409,0.90789,0.00965845,0.00965845,0.00965845
71,2738.43,0.6018,0.41654,0.96465,0.97784,0.98071,0.9903,0.90924,0.50382,0.23439,0.90858,0.0096535,0.0096535,0.0096535
72,2776.99,0.59935,0.4167,0.96447,0.97804,0.98799,0.99095,0.90864,0.50404,0.22988,0.90925,0.00964855,0.00964855,0.00964855
